plant,generation,anthocyanin_abosrbance,carotenoid_absorbance,tube_width,corolla_length,corolla_width,corolla_height,calyx_length,petal_extension,pedicel_length,stigma_exsertion,tallest_anther,shortest_anther,stigna_anther_distance
87,F2,0.629,0.48595,14.905,36.55,26.225,30.965,19.465,8.37,19.73,3.815,34.87,31.425,3.445
88,F2,0.3775,,15.235,35.35,29.735,37.175,20.575,8.505,11.455,2.935,34.895,29.89,5.005
89,F2,0.194,0.26715,14.51,37.20333333,25.94,31.21,23.67333333,8.253333333,21.86666667,3.96,36.47,32.07666667,4.393333333
90,F2,0.113,0.3684,15.705,36.845,32.185,37.885,24.985,8.065,14.67,3.35,34.945,30.726,4.219
91,F2,0.1145,0.2219,15.375,36.45,25.215,31.67,23.075,12.99,12.72,4.04,33.925,29.625,4.3
92,F2,0.016,0.27665,14.945,36.155,25.79,33.97,22.575,9.425,19.135,4.64,36.98,32.725,4.255
94,F2,0.625,0.3097,15.945,37.89,28.75,36.59,24.72,8.5,15.4,1.77,35.605,31.61,3.995
95,F2,0.003,0.19975,13.94,36.51,24.87,27.8,23.76,10.79,14.5,1.83,32.69,29.27,3.42
96,F2,0.130333333,0.18155,16.14333333,35.71333333,28.33333333,32.06,21.61666667,9.756666667,20.83333333,2.403333333,32.84,29.21666667,3.623333333
97,F2,0.089,0.24555,14.485,37.075,23.78,29.225,22.37,11.845,20.55,3.085,35.445,33.495,1.95
98,F2,0.205,0.31635,14.795,32.16,27.505,33.125,19.92,6.48,11.385,6.27,30.04,26.17,3.87
99,F2,0.575,0.3411,14.07,35.16,25.97,33.155,21.35,5.685,14.865,3.4,32.92,28.81,4.11
100,F2,0.152,0.19355,14.005,39.76,26.82,32.6,26.035,12.145,23.695,4.74,38.885,34.245,4.64
102,F2,0.0755,0.43965,14.69,34.31,24.765,32.23,19.23,7.745,14.775,3.065,32.18,29.26,2.92
103,F2,0.087,0.2659,13.265,31.005,24.74,28.705,19.185,8.54,21.25,6.84,30.47,27.62,2.85
105,F2,0.098,0.38435,17.645,39.335,30.485,32.17,24.09,10.605,20.74,1.735,37.51,32.715,4.795
106,F2,0.926,0.3102,16.105,37.695,29.13,34.82,22.51,10.395,12.935,3.76,34.125,29.93,4.195
107,F2,0.1735,0.25495,16.42,37.51,28.265,30.54,22.225,9.1,18.36,5.17,35.43,30.715,4.715
108,F2,0.231,0.2692,13.63,33.77333333,23.63,25.98,20.55,8.323333333,29.58,4.633333333,32.78333333,29.33666667,3.446666667
109,F2,0.0065,0.1565,13.95,34.015,24.28,28.435,22.35,9.825,21.795,6.675,33.31,29.37,3.94
111,F2,0.0745,0.16965,13.27,31.535,23.52,27.915,21.35,9.235,21.475,5.105,31.235,26.86,4.375
112,F2,0.2395,0.37035,15.25,38.36,25.07,31.025,23.305,6.63,19.625,6.76,37.32,32.915,4.405
113,F2,0.156,0.2629,15.905,40.055,30.4,38.02,26.02,10.44,22.715,5.905,37.69,32.515,5.175
114,F2,0.8185,0.2834,14.965,36.225,30.68,35.12,24.77,10.2,24.835,5.47,34.3,29.945,4.355
116,F2,0.159,0.43745,14.37,35.595,26.805,34.06,22.855,10.145,14.565,3.55,34.01,29.905,4.105
119,F2,0.2725,0.23615,13.275,34.28,21.49,26.45,20.98,8.335,14.1,3.84,31.855,28.19,3.665
121,F2,0.299666667,0.14045,14.06333333,36.32333333,27.25333333,29.72333333,23.83666667,9.553333333,10.25333333,3.58,33.345,29.535,3.81
122,F2,0.041,0.16795,13.545,36.305,26.78,33.66,23.22,11.975,18.785,1.52,34.39,30.485,3.905
123,F2,0.4465,0.32425,15.70666667,38.97333333,26.82333333,32.17,22.2,12.28333333,21.96666667,4.28,37.44333333,33.13333333,4.31
125,F2,0.213,0.34415,14.28,38.24,24.545,29.045,22.555,11.05,10.675,5.425,35.49,30.64,4.85
128,F2,0.406,0.19765,15.25,36.8,30.4,35.72,23.55,7.9,16.24,3.77,36.67,32.8,3.87
130,F2,0.147,,14.855,36.09,27.5,32.86,20.175,5.745,15.125,1.71,34.315,30.185,4.13
